ICAO;IATA;AirportName;City;Country;Latitude;Longitude;Altitude
AYGA;GKA;GOROKA;GOROKA;PAPUA NEW GUINEA;-6.081666667;145.3916667;1609.9536
AYLA;LAE;;LAE;PAPUA NEW GUINEA;0;0;0
AYMD;MAG;MADANG;MADANG;PAPUA NEW GUINEA;-5.206944444;145.7886111;6.096
AYMH;HGU;MOUNT HAGEN;MOUNT HAGEN;PAPUA NEW GUINEA;-5.826111111;144.2961111;1642.2624
AYNZ;LAE;NADZAB;NADZAB;PAPUA NEW GUINEA;-6.569722222;146.7261111;72.8472
AYPY;POM;PORT MORESBY JACKSONS INTERNATIONAL;PORT MORESBY;PAPUA NEW GUINEA;-9.443333333;147.22;44.5008
AYRB;RAB;;RABAUL;PAPUA NEW GUINEA;0;0;0
AYWK;WWK;WEWAK INTERNATIONAL;WEWAK;PAPUA NEW GUINEA;-3.583611111;143.6691667;5.7912
BGAM;N/A;;ANGMAGSSALIK;GREENLAND;0;0;0
BGAS;N/A;;ANGISSOQ;GREENLAND;0;0;0
BGAT;N/A;;APUTITEQ;GREENLAND;0;0;0
BGBW;UAK;NARSARSUAQ;NARSSARSSUAQ;GREENLAND;61.16111111;-45.4275;34.1376
BGCH;JCH;;CHRISTIANSHAAB;GREENLAND;0;0;0
BGCO;N/A;NERLERIT INAAT CONSTABLE PYNT;NERLERIT INAAT;GREENLAND;70.73944444;-22.64583333;13.716
BGDB;N/A;;DANEBORG;GREENLAND;0;0;0
BGDH;N/A;;DANMARKSHAVN;GREENLAND;0;0;0
BGDU;N/A;;DUNDAS;GREENLAND;0;0;0
BGEM;JEG;;EGEDESMINDE;GREENLAND;0;0;0
BGFD;N/A;;FREDERIKSDAL;GREENLAND;0;0;0
BGFH;JFR;;FREDERIKSHAAB;GREENLAND;0;0;0
BGGD;JGR;;GRONNEDAL;GREENLAND;0;0;0
BGGH;GOH;NUUK;GODTHAAB;GREENLAND;64.19083333;-51.67805556;86.2584
BGGN;JGO;;GODHAVN;GREENLAND;0;0;0
BGHB;JHS;;HOLSTEINSBORG;GREENLAND;0;0;0
BGIS;N/A;;ISORTOQ;GREENLAND;0;0;0
BGIT;N/A;;IVIGTUT;GREENLAND;0;0;0
BGJH;JJU;;JULIANEHAAB;GREENLAND;0;0;0
BGJN;JAV;JACOBSHAVN;JAKOBSHAVN;GREENLAND;69.23333333;-51.06666667;33.528
BGKD;N/A;;KAP DAN;GREENLAND;0;0;0
